Statute Name,Violation Date,latitude,longitude,counts
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/17,47.57141,-122.347968,88
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/17,47.571422,-122.34976,93
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/18,47.57141,-122.347968,116
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/18,47.571422,-122.34976,101
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/19,47.57141,-122.347968,99
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/19,47.571422,-122.34976,106
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/2,47.57141,-122.347968,123
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/2,47.571422,-122.34976,112
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/20,47.57141,-122.347968,116
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/20,47.571422,-122.34976,105
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/21,47.57141,-122.347968,143
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/21,47.571422,-122.34976,105
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/22,47.57141,-122.347968,123
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/22,47.571422,-122.34976,112
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/23,47.57141,-122.347968,144
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/23,47.571422,-122.34976,140
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/24,47.57141,-122.347968,121
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/24,47.571422,-122.34976,129
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/25,47.57141,-122.347968,113
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/25,47.571422,-122.34976,142
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/26,47.57141,-122.347968,134
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/26,47.571422,-122.34976,21
HOV LANE VIOLATION CAMERA VIOLATION,2021/3/27,47.57141,-122.347968,21
